smallRNA	11474.0-2hr_Embryo.high	11473.0-2hr_Embryo.low	11472.NBF-Ovary.high	11471.NBF-Ovary.low	11431.72hr_PBM-Ovary.low	11430.72hr_PBM-Ovary.high	11429.24hr_PBM-Ovary.low	11428.24hr_PBM-Ovary.high	12093.Male_Carcass	12092.Male_Testes	11524.72hr_PBM_Female_Carcass	11476.2-4hr_Embryo.high	11475.2-4hr_Embryo.low	11427.48hr_PBM-Ovary.low	11426.48hr_PBM-Ovary.high	aae_smallRNA_family	Ago2nm
aae-bantam-3p	34.5208505937586	1739.25389557378	93.2105439767347	2591.32852989508	40.5959485243373	1532.82239253582	98.9299081600686	1145.75555498339	132962.390645202	205058.864669542	281009.429824007	11856.797513526	90135.8723392601	1111.03273137698	9.59821857063329	aae-bantam-3p	aae-bantam-3p
aae-bantam-5p	34.5208505937586	35.4949774606893	18.6421087953469	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	37.419761340326	130.551346310759	79.8065982634197	71.9465868539196	2.4898724438347	8.81772009029345	9.59821857063329	aae-bantam-5p	aae-bantam-5p
aae-let-7	34.5208505937586	106.484932382068	37.2842175906939	1801.28934395146	81.1918970486745	22.2148172831278	49.4649540800343	502.072658925307	21640.5607404694	17072.6968955201	7919.11882275151	935.305629100955	1207.58813525983	255.71388261851	9.59821857063329	aae-let-7	aae-let-7
aae-miR-1	103.562551781276	7418.45028928407	167.778979158122	10065.0992289218	4018.99890390939	22.2148172831278	115.418226186747	2845.07840057674	178189.517905178	66795.6638302832	80393.9073844427	3194.42845631403	9598.45827098278	1384.38205417607	9.59821857063329	aae-miR-1	aae-miR-1
aae-miR-10	34.5208505937586	1348.80914350619	37.2842175906939	1311.46504866641	40.5959485243373	22.2148172831278	16.4883180266781	708.051185663895	9659.46591665586	23782.1035862766	21053.7674475068	1050.42016806723	17730.3816725469	361.526523702032	19.1964371412666	aae-miR-10	aae-miR-10
aae-miR-100	69.0417011875173	177.474887303447	37.2842175906939	1248.26191379092	81.1918970486745	22.2148172831278	32.9766360533562	437.704369319498	10030.8125006237	33158.4877802386	46073.1360030888	1625.99286289858	1329.59188500773	26.4531602708804	9.59821857063329	aae-miR-100	aae-miR-100
aae-miR-1000	34.5208505937586	35.4949774606893	18.6421087953469	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	2099.24861119229	273.536154174923	105.659439954387	14.3893173707839	2.4898724438347	8.81772009029345	9.59821857063329	aae-miR-1000	aae-miR-1000
aae-miR-10365	34.5208505937586	35.4949774606893	18.6421087953469	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	32.96502784743	91.6967789563663	35.4071527506721	14.3893173707839	2.4898724438347	8.81772009029345	9.59821857063329	aae-miR-10365	aae-miR-10365
aae-miR-11-3p	103.562551781276	4046.42743051858	18.6421087953469	679.433699911516	40.5959485243373	22.2148172831278	16.4883180266781	321.841448029043	3276.54557869483	2587.71418580254	2253.97438264398	8547.25451824565	24074.5766594377	246.896162528217	9.59821857063329	aae-miR-2a-3p	aae-miR-2a-3p
aae-miR-1174	34.5208505937586	35.4949774606893	18.6421087953469	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	790.269721639741	35.7462019660411	13.2074299942983	14.3893173707839	2.4898724438347	8.81772009029345	9.59821857063329	aae-miR-1174	aae-miR-1174
aae-miR-1175-3p	34.5208505937586	35.4949774606893	18.6421087953469	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	4.45473349289595	1.5541826941757	1.96706404170401	14.3893173707839	2.4898724438347	8.81772009029345	9.59821857063329	aae-miR-1175-3p	aae-miR-1175-3p
aae-miR-1175-5p	34.5208505937586	354.949774606893	18.6421087953469	47.4023511566174	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	373.30666670468	26.4211058009869	501.320321485707	14.3893173707839	14.9392346630082	8.81772009029345	9.59821857063329	aae-miR-1175-5p	aae-miR-1175-5p
aae-miR-11893	34.5208505937586	35.4949774606893	18.6421087953469	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	1.4255147177267	3.1083653883514	4.49614638103773	14.3893173707839	2.4898724438347	8.81772009029345	9.59821857063329	aae-miR-11893	aae-miR-11893
aae-miR-11894-novel-a	69.0417011875173	1987.7187377986	37.2842175906939	2101.50423461004	771.323021962408	44.4296345662557	412.207950666953	4930.61098380494	1763.18351648822	2519.33014725881	11829.0801193614	2374.23736617935	53684.13976152	1745.9085778781	9.59821857063329	aae-miR-11894	aae-miR-11894
aae-miR-11894-novel-b	34.5208505937586	1064.84932382068	18.6421087953469	584.628997598281	649.535176389396	22.2148172831278	98.9299081600686	939.777028244805	7.30576292834935	15.541826941757	38.7792625364504	14.3893173707839	383.440356350544	343.891083521445	9.59821857063329	aae-miR-11894	aae-miR-11894
aae-miR-11894-novel-c	34.5208505937586	816.384481595854	18.6421087953469	237.011755783087	608.939227865059	22.2148172831278	32.9766360533562	270.346816344396	2.85102943545341	4.6625480825271	15.4555031848172	14.3893173707839	57.2670662081982	88.1772009029345	9.59821857063329	aae-miR-11894	aae-miR-11894
aae-miR-11894-novel-d	34.5208505937586	106.484932382068	18.6421087953469	110.605486032107	40.5959485243373	22.2148172831278	16.4883180266781	102.989263369294	0.356378679431676	1.5541826941757	2.52908233933372	14.3893173707839	62.2468110958676	8.81772009029345	9.59821857063329	aae-miR-11894	aae-miR-11894
