 	Experiment	Antibody	Lysate
KRG121817A_Aag2_Ago2_Exp1A	KRG121817A	Ago2	Aag2
KRG121817A_Aag2_Ago2_Exp1B	KRG121817A	Ago2	Aag2
KRG121817B_Aag2_Ago2_Exp2A	KRG121817B	Ago2	Aag2
KRG121817B_Aag2_Ago2_Exp2B	KRG121817B	Ago2	Aag2
KRG121817A_Aag2_mIgG_Exp1A	KRG121817A	mIgG	Aag2
KRG121817A_Aag2_mIgG_Exp1B	KRG121817A	mIgG	Aag2
KRG121817B_Aag2_mIgG_Exp2A	KRG121817B	mIgG	Aag2
KRG121817B_Aag2_mIgG_Exp2B	KRG121817B	mIgG	Aag2
KRG121817A_Aag2_rIgG_Exp1A	KRG121817A	rIgG	Aag2
KRG121817A_Aag2_rIgG_Exp1B	KRG121817A	rIgG	Aag2
KRG121817B_Aag2_rIgG_Exp2A	KRG121817B	rIgG	Aag2
KRG121817B_Aag2_rIgG_Exp2B	KRG121817B	rIgG	Aag2
