all_3UTR_2946.geneId	all_3UTR_2946.transcriptId
AAEL008027	AAEL008027-RD
AAEL010679	AAEL010679-RA
AAEL000442	AAEL000442-RA
AAEL009151	AAEL009151-RA
AAEL005768	AAEL005768-RA
AAEL005165	AAEL005165-RG
AAEL022285	AAEL022285-RA
AAEL004699	AAEL004699-RA
AAEL000983	AAEL000983-RA
AAEL014762	AAEL014762-RB
AAEL005832	AAEL005832-RA
AAEL005839	AAEL005839-RA
AAEL002859	AAEL002859-RB
AAEL020340	AAEL020340-RC
AAEL022282	AAEL022282-RA
AAEL004865	AAEL004865-RA
AAEL020614	AAEL020614-RA
AAEL019980	AAEL019980-RA
AAEL008962	AAEL008962-RC
AAEL002451	AAEL002451-RB
AAEL012312	AAEL012312-RA
AAEL011708	AAEL011708-RA
AAEL012832	AAEL012832-RB
AAEL022867	AAEL022867-RA
AAEL014510	AAEL014510-RA
AAEL019986	AAEL019986-RE
AAEL015065	AAEL015065-RA
AAEL001940	AAEL001940-RB
AAEL003066	AAEL003066-RA
AAEL012548	AAEL012548-RB
AAEL013356	AAEL013356-RB
AAEL001503	AAEL001503-RJ
AAEL010143	AAEL010143-RA
AAEL011369	AAEL011369-RE
AAEL004739	AAEL004739-RA
AAEL019609	AAEL019609-RA
AAEL018351	AAEL018351-RB
AAEL016973	AAEL016973-RA
AAEL001645	AAEL001645-RA
AAEL008696	AAEL008696-RA
AAEL014207	AAEL014207-RC
AAEL020486	AAEL020486-RA
AAEL012897	AAEL012897-RA
AAEL000304	AAEL000304-RF
AAEL012267	AAEL012267-RB
AAEL002214	AAEL002214-RC
AAEL006433	AAEL006433-RB
AAEL000716	AAEL000716-RA
AAEL017059	AAEL017059-RB
AAEL007707	AAEL007707-RA
AAEL004469	AAEL004469-RB
AAEL018699	AAEL018699-RT
AAEL028119	AAEL028119-RA
AAEL005255	AAEL005255-RG
AAEL004212	AAEL004212-RA
AAEL000804	AAEL000804-RC
AAEL007363	AAEL007363-RC
AAEL007636	AAEL007636-RB
AAEL011302	AAEL011302-RA
AAEL002759	AAEL002759-RD
AAEL005600	AAEL005600-RA
AAEL009274	AAEL009274-RA
AAEL005845	AAEL005845-RB
AAEL002827	AAEL002827-RA
AAEL000758	AAEL000758-RB
AAEL019751	AAEL019751-RD
AAEL019682	AAEL019682-RA
AAEL003517	AAEL003517-RA
AAEL003955	AAEL003955-RB
AAEL012409	AAEL012409-RK
AAEL010608	AAEL010608-RB
AAEL019441	AAEL019441-RD
AAEL021557	AAEL021557-RA
AAEL006095	AAEL006095-RA
AAEL003817	AAEL003817-RA
AAEL020092	AAEL020092-RA
AAEL007876	AAEL007876-RB
AAEL026210	AAEL026210-RA
AAEL001116	AAEL001116-RB
AAEL019683	AAEL019683-RA
AAEL010318	AAEL010318-RA
AAEL003646	AAEL003646-RB
AAEL003872	AAEL003872-RA
AAEL011584	AAEL011584-RA
AAEL020670	AAEL020670-RA
AAEL025856	AAEL025856-RA
AAEL022406	AAEL022406-RA
AAEL021694	AAEL021694-RB
