all_3UTR_7.geneId	all_3UTR_7.transcriptId
AAEL004783	AAEL004783-RA
AAEL002178	AAEL002178-RB
AAEL013870	AAEL013870-RA
AAEL007038	AAEL007038-RB
AAEL020016	AAEL020016-RA
AAEL012233	AAEL012233-RB
AAEL025130	AAEL025130-RC
AAEL010884	AAEL010884-RB
AAEL005839	AAEL005839-RA
AAEL005411	AAEL005411-RC
AAEL005411	AAEL005411-RB
AAEL003750	AAEL003750-RA
AAEL010584	AAEL010584-RB
AAEL007915	AAEL007915-RD
AAEL009782	AAEL009782-RB
AAEL005515	AAEL005515-RJ
AAEL014843	AAEL014843-RB
AAEL025498	AAEL025498-RA
AAEL023037	AAEL023037-RA
AAEL001751	AAEL001751-RA
AAEL024717	AAEL024717-RA
AAEL027402	AAEL027402-RA
AAEL012175	AAEL012175-RA
AAEL009212	AAEL009212-RL
AAEL001569	AAEL001569-RG
AAEL019657	AAEL019657-RC
AAEL018144	AAEL018144-RA
AAEL024144	AAEL024144-RA
AAEL019854	AAEL019854-RB
AAEL007826	AAEL007826-RA
AAEL001864	AAEL001864-RA
AAEL004972	AAEL004972-RN
AAEL019609	AAEL019609-RA
AAEL004297	AAEL004297-RB
AAEL006682	AAEL006682-RC
AAEL013092	AAEL013092-RB
AAEL023187	AAEL023187-RD
AAEL007963	AAEL007963-RB
AAEL019826	AAEL019826-RE
AAEL001818	AAEL001818-RC
AAEL004727	AAEL004727-RB
AAEL012267	AAEL012267-RB
AAEL001904	AAEL001904-RA
AAEL002214	AAEL002214-RC
AAEL006432	AAEL006432-RB
AAEL001411	AAEL001411-RA
AAEL020615	AAEL020615-RA
AAEL024141	AAEL024141-RE
AAEL011051	AAEL011051-RB
AAEL013967	AAEL013967-RA
AAEL019566	AAEL019566-RB
AAEL022913	AAEL022913-RA
AAEL006641	AAEL006641-RA
AAEL006205	AAEL006205-RB
AAEL014226	AAEL014226-RI
AAEL013863	AAEL013863-RB
AAEL004434	AAEL004434-RA
AAEL004417	AAEL004417-RA
AAEL025911	AAEL025911-RA
AAEL005846	AAEL005846-RA
AAEL028237	AAEL028237-RF
AAEL019855	AAEL019855-RT
AAEL013227	AAEL013227-RA
AAEL008723	AAEL008723-RA
AAEL008738	AAEL008738-RA
AAEL004209	AAEL004209-RG
AAEL007041	AAEL007041-RB
AAEL020035	AAEL020035-RE
AAEL000902	AAEL000902-RB
AAEL002464	AAEL002464-RA
AAEL006876	AAEL006876-RD
AAEL002317	AAEL002317-RB
AAEL002308	AAEL002308-RD
AAEL008366	AAEL008366-RA
AAEL001048	AAEL001048-RA
AAEL008164	AAEL008164-RA
