all_3UTR_981.geneId	all_3UTR_981.transcriptId
AAEL021376	AAEL021376-RA
AAEL021140	AAEL021140-RA
AAEL005262	AAEL005262-RB
AAEL010506	AAEL010506-RA
AAEL005790	AAEL005790-RC
AAEL019987	AAEL019987-RB
AAEL008431	AAEL008431-RA
AAEL009317	AAEL009317-RA
AAEL001009	AAEL001009-RB
AAEL014408	AAEL014408-RC
AAEL021288	AAEL021288-RA
AAEL019700	AAEL019700-RG
AAEL024497	AAEL024497-RA
AAEL005417	AAEL005417-RB
AAEL002860	AAEL002860-RA
AAEL021491	AAEL021491-RA
AAEL013075	AAEL013075-RB
AAEL007619	AAEL007619-RC
AAEL024913	AAEL024913-RF
AAEL008959	AAEL008959-RA
AAEL013884	AAEL013884-RB
AAEL000128	AAEL000128-RC
AAEL019895	AAEL019895-RA
AAEL004259	AAEL004259-RC
AAEL001779	AAEL001779-RA
AAEL021016	AAEL021016-RC
AAEL011871	AAEL011871-RA
AAEL001935	AAEL001935-RA
AAEL027402	AAEL027402-RA
AAEL019669	AAEL019669-RA
AAEL007771	AAEL007771-RB
AAEL011105	AAEL011105-RA
AAEL006649	AAEL006649-RA
AAEL003519	AAEL003519-RA
AAEL013561	AAEL013561-RB
AAEL019609	AAEL019609-RA
AAEL004294	AAEL004294-RA
AAEL026217	AAEL026217-RA
AAEL020484	AAEL020484-RA
AAEL006669	AAEL006669-RA
AAEL007959	AAEL007959-RA
AAEL023187	AAEL023187-RD
AAEL012897	AAEL012897-RA
AAEL001798	AAEL001798-RC
AAEL009345	AAEL009345-RA
AAEL010731	AAEL010731-RB
AAEL028043	AAEL028043-RA
AAEL002244	AAEL002244-RA
AAEL007982	AAEL007982-RA
AAEL006433	AAEL006433-RB
AAEL019568	AAEL019568-RD
AAEL006619	AAEL006619-RB
AAEL019477	AAEL019477-RF
AAEL014318	AAEL014318-RA
AAEL024066	AAEL024066-RA
AAEL019885	AAEL019885-RA
AAEL006728	AAEL006728-RA
AAEL009883	AAEL009883-RA
AAEL011302	AAEL011302-RA
AAEL006922	AAEL006922-RA
AAEL007797	AAEL007797-RA
AAEL017293	AAEL017293-RA
AAEL009701	AAEL009701-RB
AAEL001134	AAEL001134-RA
AAEL010942	AAEL010942-RA
AAEL007019	AAEL007019-RB
AAEL008652	AAEL008652-RB
AAEL022819	AAEL022819-RB
AAEL005971	AAEL005971-RB
AAEL027868	AAEL027868-RB
AAEL000791	AAEL000791-RA
AAEL000758	AAEL000758-RB
AAEL019751	AAEL019751-RD
AAEL008738	AAEL008738-RA
AAEL002974	AAEL002974-RB
AAEL004209	AAEL004209-RG
AAEL017338	AAEL017338-RA
AAEL028038	AAEL028038-RA
AAEL013225	AAEL013225-RC
AAEL019974	AAEL019974-RB
AAEL000839	AAEL000839-RA
AAEL002308	AAEL002308-RD
AAEL010311	AAEL010311-RA
AAEL005567	AAEL005567-RD
AAEL003873	AAEL003873-RC
AAEL025856	AAEL025856-RA
AAEL028163	AAEL028163-RA
AAEL024912	AAEL024912-RA
