all_3UTR_989.geneId	all_3UTR_989.transcriptId
AAEL002887	AAEL002887-RA
AAEL012463	AAEL012463-RB
AAEL019987	AAEL019987-RB
AAEL011288	AAEL011288-RA
AAEL006958	AAEL006958-RD
AAEL005832	AAEL005832-RA
AAEL003746	AAEL003746-RA
AAEL002860	AAEL002860-RA
AAEL012062	AAEL012062-RJ
AAEL013075	AAEL013075-RB
AAEL025553	AAEL025553-RA
AAEL019481	AAEL019481-RI
AAEL002525	AAEL002525-RA
AAEL012939	AAEL012939-RA
AAEL001254	AAEL001254-RA
AAEL013139	AAEL013139-RI
AAEL009212	AAEL009212-RL
AAEL013536	AAEL013536-RC
AAEL019609	AAEL019609-RA
AAEL013625	AAEL013625-RA
AAEL019714	AAEL019714-RF
AAEL013466	AAEL013466-RB
AAEL007913	AAEL007913-RA
AAEL017212	AAEL017212-RA
AAEL012035	AAEL012035-RA
AAEL005997	AAEL005997-RA
AAEL009171	AAEL009171-RA
AAEL013896	AAEL013896-RD
AAEL000278	AAEL000278-RB
AAEL011414	AAEL011414-RE
AAEL011116	AAEL011116-RA
AAEL010318	AAEL010318-RA
AAEL027925	AAEL027925-RA
AAEL025330	AAEL025330-RA
AAEL026053	AAEL026053-RA
AAEL004234	AAEL004234-RA
AAEL005790	AAEL005790-RC
AAEL007824	AAEL007824-RA
AAEL010047	AAEL010047-RB
AAEL006711	AAEL006711-RB
AAEL006071	AAEL006071-RC
AAEL020002	AAEL020002-RD
AAEL023148	AAEL023148-RA
AAEL009759	AAEL009759-RA
AAEL003163	AAEL003163-RB
AAEL014965	AAEL014965-RG
AAEL004865	AAEL004865-RA
AAEL010584	AAEL010584-RB
AAEL023895	AAEL023895-RC
AAEL025438	AAEL025438-RA
AAEL020542	AAEL020542-RA
AAEL020614	AAEL020614-RA
AAEL002512	AAEL002512-RA
AAEL009872	AAEL009872-RA
AAEL010037	AAEL010037-RB
AAEL012359	AAEL012359-RA
AAEL012421	AAEL012421-RA
AAEL011536	AAEL011536-RA
AAEL019604	AAEL019604-RA
AAEL026069	AAEL026069-RF
AAEL010975	AAEL010975-RA
AAEL019592	AAEL019592-RC
AAEL013764	AAEL013764-RA
AAEL012019	AAEL012019-RB
AAEL003117	AAEL003117-RB
AAEL020018	AAEL020018-RAB
AAEL001370	AAEL001370-RA
AAEL026443	AAEL026443-RB
AAEL008844	AAEL008844-RA
AAEL006987	AAEL006987-RB
AAEL010529	AAEL010529-RA
AAEL009061	AAEL009061-RB
AAEL001869	AAEL001869-RA
AAEL007452	AAEL007452-RB
AAEL000944	AAEL000944-RA
AAEL001194	AAEL001194-RA
AAEL010533	AAEL010533-RE
AAEL007189	AAEL007189-RE
AAEL014326	AAEL014326-RB
AAEL011319	AAEL011319-RE
AAEL013952	AAEL013952-RC
AAEL013092	AAEL013092-RB
AAEL019715	AAEL019715-RA
AAEL005651	AAEL005651-RB
AAEL013170	AAEL013170-RA
AAEL001896	AAEL001896-RA
AAEL002214	AAEL002214-RC
AAEL006433	AAEL006433-RB
AAEL006439	AAEL006439-RC
AAEL005019	AAEL005019-RA
AAEL006510	AAEL006510-RB
AAEL001394	AAEL001394-RA
AAEL006550	AAEL006550-RB
AAEL004902	AAEL004902-RA
AAEL010506	AAEL010506-RA
AAEL008134	AAEL008134-RA
AAEL000795	AAEL000795-RA
AAEL005617	AAEL005617-RC
AAEL001126	AAEL001126-RC
AAEL009842	AAEL009842-RB
AAEL006650	AAEL006650-RP
AAEL012945	AAEL012945-RC
AAEL000165	AAEL000165-RA
AAEL025911	AAEL025911-RA
AAEL005849	AAEL005849-RB
AAEL005845	AAEL005845-RB
AAEL017301	AAEL017301-RA
AAEL019682	AAEL019682-RA
AAEL000291	AAEL000291-RA
AAEL009658	AAEL009658-RF
AAEL003135	AAEL003135-RB
AAEL010608	AAEL010608-RB
AAEL022662	AAEL022662-RA
AAEL003548	AAEL003548-RB
AAEL023591	AAEL023591-RA
AAEL013132	AAEL013132-RF
AAEL019503	AAEL019503-RH
AAEL007881	AAEL007881-RA
AAEL019428	AAEL019428-RH
AAEL019594	AAEL019594-RA
AAEL019561	AAEL019561-RH
AAEL012819	AAEL012819-RA
AAEL019500	AAEL019500-RG
