aegypti_Ago2_non3UTRtop.geneId	aegypti_Ago2_non3UTRtop.transcriptId
AAEL001245	AAEL001245-RD
AAEL003487	AAEL003487-RB
AAEL024700	AAEL024700-RA
AAEL001281	AAEL001281-RJ
AAEL013445	AAEL013445-RB
AAEL023508	AAEL023508-RB
AAEL008560	AAEL008560-RA
AAEL019608	AAEL019608-RA
AAEL008564	AAEL008564-RB
AAEL008557	AAEL008557-RA
AAEL014646	AAEL014646-RA
AAEL001076	AAEL001076-RI
AAEL022867	AAEL022867-RA
AAEL012914	AAEL012914-RC
AAEL026811	AAEL026811-RA
AAEL012916	AAEL012916-RD
AAEL014774	AAEL014774-RA
AAEL019527	AAEL019527-RA
AAEL021652	AAEL021652-RA
AAEL012056	AAEL012056-RA
AAEL009859	AAEL009859-RA
AAEL009857	AAEL009857-RD
AAEL001779	AAEL001779-RA
AAEL001759	AAEL001759-RA
AAEL025977	AAEL025977-RA
AAEL009606	AAEL009606-RD
AAEL014715	AAEL014715-RB
AAEL009607	AAEL009607-RJ
AAEL014510	AAEL014510-RB
AAEL014510	AAEL014510-RA
AAEL019788	AAEL019788-RB
AAEL009238	AAEL009238-RA
AAEL015022	AAEL015022-RA
AAEL007547	AAEL007547-RB
AAEL026074	AAEL026074-RB
AAEL020646	AAEL020646-RA
AAEL005106	AAEL005106-RB
AAEL013605	AAEL013605-RA
AAEL005111	AAEL005111-RC
AAEL026243	AAEL026243-RA
AAEL009291	AAEL009291-RA
AAEL002334	AAEL002334-RA
AAEL002349	AAEL002349-RB
AAEL019460	AAEL019460-RA
AAEL010691	AAEL010691-RA
AAEL019551	AAEL019551-RA
AAEL009294	AAEL009294-RC
AAEL023985	AAEL023985-RK
AAEL011038	AAEL011038-RA
AAEL023983	AAEL023983-RA
AAEL017075	AAEL017075-RA
AAEL013128	AAEL013128-RF
AAEL011240	AAEL011240-RA
AAEL009287	AAEL009287-RA
AAEL025049	AAEL025049-RF
AAEL010379	AAEL010379-RC
AAEL010386	AAEL010386-RB
AAEL010373	AAEL010373-RK
AAEL026787	AAEL026787-RA
AAEL021016	AAEL021016-RC
AAEL001863	AAEL001863-RA
AAEL000081	AAEL000081-RB
AAEL013203	AAEL013203-RE
AAEL029020	AAEL029020-RA
AAEL011870	AAEL011870-RA
AAEL011871	AAEL011871-RA
AAEL011873	AAEL011873-RA
AAEL011877	AAEL011877-RB
AAEL027465	AAEL027465-RB
AAEL023512	AAEL023512-RG
AAEL012654	AAEL012654-RE
AAEL012661	AAEL012661-RB
AAEL022729	AAEL022729-RA
AAEL013139	AAEL013139-RI
AAEL019986	AAEL019986-RE
AAEL019597	AAEL019597-RA
AAEL027384	AAEL027384-RA
AAEL015065	AAEL015065-RA
AAEL003113	AAEL003113-RA
AAEL024598	AAEL024598-RA
AAEL003117	AAEL003117-RB
AAEL008481	AAEL008481-RB
AAEL025258	AAEL025258-RA
AAEL022136	AAEL022136-RB
AAEL021140	AAEL021140-RA
AAEL001916	AAEL001916-RB
AAEL001925	AAEL001925-RB
AAEL026220	AAEL026220-RA
AAEL020250	AAEL020250-RA
AAEL020019	AAEL020019-RA
AAEL020018	AAEL020018-RAB
AAEL008916	AAEL008916-RE
AAEL022689	AAEL022689-RA
AAEL027402	AAEL027402-RA
AAEL003724	AAEL003724-RA
AAEL008773	AAEL008773-RA
AAEL008768	AAEL008768-RC
AAEL013217	AAEL013217-RA
AAEL022068	AAEL022068-RA
AAEL021192	AAEL021192-RA
AAEL020488	AAEL020488-RE
AAEL022833	AAEL022833-RA
AAEL027058	AAEL027058-RB
AAEL012176	AAEL012176-RC
AAEL012175	AAEL012175-RA
AAEL001363	AAEL001363-RA
AAEL001359	AAEL001359-RA
AAEL001389	AAEL001389-RB
AAEL019977	AAEL019977-RA
AAEL019669	AAEL019669-RA
AAEL001360	AAEL001360-RE
AAEL017536	AAEL017536-RB
AAEL001549	AAEL001549-RM
AAEL003555	AAEL003555-RA
AAEL025605	AAEL025605-RA
AAEL003554	AAEL003554-RB
AAEL027353	AAEL027353-RA
AAEL018237	AAEL018237-RB
AAEL018236	AAEL018236-RB
AAEL027494	AAEL027494-RA
AAEL011173	AAEL011173-RB
AAEL024344	AAEL024344-RA
AAEL001582	AAEL001582-RB
AAEL001593	AAEL001593-RD
AAEL019667	AAEL019667-RA
AAEL003064	AAEL003064-RB
AAEL018290	AAEL018290-RB
AAEL019546	AAEL019546-RG
AAEL019720	AAEL019720-RD
AAEL003063	AAEL003063-RE
AAEL002404	AAEL002404-RG
AAEL021733	AAEL021733-RA
AAEL001564	AAEL001564-RD
AAEL008641	AAEL008641-RB
AAEL019869	AAEL019869-RA
AAEL001540	AAEL001540-RB
AAEL003497	AAEL003497-RA
AAEL019773	AAEL019773-RA
AAEL007525	AAEL007525-RA
AAEL011953	AAEL011953-RB
AAEL019646	AAEL019646-RD
AAEL027408	AAEL027408-RA
AAEL020663	AAEL020663-RA
AAEL012471	AAEL012471-RB
AAEL012475	AAEL012475-RC
AAEL022376	AAEL022376-RB
AAEL007771	AAEL007771-RB
AAEL007767	AAEL007767-RA
AAEL019849	AAEL019849-RC
AAEL019849	AAEL019849-RI
AAEL026402	AAEL026402-RA
AAEL001570	AAEL001570-RB
AAEL007314	AAEL007314-RA
AAEL007322	AAEL007322-RA
AAEL021247	AAEL021247-RA
AAEL012148	AAEL012148-RE
AAEL011441	AAEL011441-RD
AAEL019651	AAEL019651-RB
AAEL011277	AAEL011277-RB
AAEL020739	AAEL020739-RB
AAEL011282	AAEL011282-RA
AAEL024346	AAEL024346-RG
AAEL014340	AAEL014340-RF
AAEL021255	AAEL021255-RB
AAEL009212	AAEL009212-RL
AAEL001569	AAEL001569-RG
AAEL021279	AAEL021279-RA
AAEL025499	AAEL025499-RA
AAEL020473	AAEL020473-RB
AAEL011222	AAEL011222-RC
AAEL018152	AAEL018152-RC
AAEL008066	AAEL008066-RF
AAEL008068	AAEL008068-RB
AAEL008058	AAEL008058-RG
AAEL008070	AAEL008070-RA
AAEL018211	AAEL018211-RB
AAEL011106	AAEL011106-RC
AAEL011102	AAEL011102-RA
AAEL019777	AAEL019777-RA
AAEL019778	AAEL019778-RA
AAEL026906	AAEL026906-RD
AAEL025922	AAEL025922-RA
AAEL012147	AAEL012147-RC
AAEL012144	AAEL012144-RA
AAEL008678	AAEL008678-RA
AAEL015100	AAEL015100-RE
AAEL021748	AAEL021748-RA
AAEL007382	AAEL007382-RA
AAEL011083	AAEL011083-RC
AAEL011088	AAEL011088-RB
AAEL013484	AAEL013484-RA
AAEL006476	AAEL006476-RB
AAEL013487	AAEL013487-RC
AAEL012545	AAEL012545-RA
AAEL012546	AAEL012546-RA
AAEL018273	AAEL018273-RB
AAEL021414	AAEL021414-RA
AAEL024798	AAEL024798-RA
AAEL019772	AAEL019772-RA
AAEL008672	AAEL008672-RA
AAEL017230	AAEL017230-RA
AAEL013359	AAEL013359-RD
AAEL013356	AAEL013356-RB
AAEL008854	AAEL008854-RA
AAEL008853	AAEL008853-RE
AAEL018032	AAEL018032-RB
AAEL008844	AAEL008844-RA
AAEL013970	AAEL013970-RB
AAEL008848	AAEL008848-RA
AAEL020800	AAEL020800-RA
AAEL024545	AAEL024545-RA
AAEL008842	AAEL008842-RI
AAEL007023	AAEL007023-RB
AAEL019771	AAEL019771-RD
AAEL002646	AAEL002646-RB
AAEL002642	AAEL002642-RA
AAEL019532	AAEL019532-RE
AAEL006879	AAEL006879-RB
AAEL013536	AAEL013536-RC
AAEL013535	AAEL013535-RA
AAEL009424	AAEL009424-RA
AAEL009430	AAEL009430-RB
AAEL019782	AAEL019782-RC
AAEL007565	AAEL007565-RB
AAEL007559	AAEL007559-RB
AAEL007682	AAEL007682-RB
AAEL007691	AAEL007691-RA
AAEL007694	AAEL007694-RE
AAEL007681	AAEL007681-RA
AAEL019819	AAEL019819-RA
AAEL012904	AAEL012904-RA
AAEL013068	AAEL013068-RB
AAEL013069	AAEL013069-RA
AAEL013074	AAEL013074-RC
AAEL007291	AAEL007291-RA
AAEL003171	AAEL003171-RB
AAEL003162	AAEL003162-RC
AAEL019702	AAEL019702-RA
AAEL024144	AAEL024144-RA
AAEL004148	AAEL004148-RA
AAEL003534	AAEL003534-RB
AAEL006885	AAEL006885-RB
AAEL024675	AAEL024675-RB
AAEL021782	AAEL021782-RA
AAEL020955	AAEL020955-RB
AAEL019640	AAEL019640-RB
AAEL005383	AAEL005383-RA
AAEL005379	AAEL005379-RD
AAEL005392	AAEL005392-RA
AAEL010520	AAEL010520-RA
AAEL004918	AAEL004918-RC
AAEL019916	AAEL019916-RA
AAEL026751	AAEL026751-RA
AAEL001503	AAEL001503-RJ
AAEL001495	AAEL001495-RA
AAEL020915	AAEL020915-RA
AAEL001472	AAEL001472-RA
AAEL001484	AAEL001484-RC
AAEL001480	AAEL001480-RB
AAEL001497	AAEL001497-RA
AAEL019550	AAEL019550-RG
AAEL010522	AAEL010522-RA
AAEL010529	AAEL010529-RA
AAEL010139	AAEL010139-RA
AAEL010146	AAEL010146-RC
AAEL010143	AAEL010143-RA
AAEL010145	AAEL010145-RD
AAEL000757	AAEL000757-RB
AAEL011369	AAEL011369-RE
AAEL011370	AAEL011370-RA
AAEL007129	AAEL007129-RD
AAEL009257	AAEL009257-RA
AAEL009265	AAEL009265-RC
AAEL009264	AAEL009264-RB
AAEL009067	AAEL009067-RA
AAEL009056	AAEL009056-RA
AAEL011592	AAEL011592-RC
AAEL020855	AAEL020855-RA
AAEL019854	AAEL019854-RB
AAEL019596	AAEL019596-RC
AAEL007823	AAEL007823-RA
AAEL007826	AAEL007826-RA
AAEL008319	AAEL008319-RA
AAEL008329	AAEL008329-RA
AAEL019748	AAEL019748-RA
AAEL022304	AAEL022304-RA
AAEL001847	AAEL001847-RA
AAEL001843	AAEL001843-RC
AAEL001864	AAEL001864-RA
AAEL001876	AAEL001876-RB
AAEL025051	AAEL025051-RB
AAEL026104	AAEL026104-RA
AAEL004284	AAEL004284-RA
AAEL011069	AAEL011069-RB
AAEL010644	AAEL010644-RA
AAEL010641	AAEL010641-RB
AAEL003982	AAEL003982-RB
AAEL004978	AAEL004978-RA
AAEL004988	AAEL004988-RA
AAEL004973	AAEL004973-RA
AAEL004980	AAEL004980-RA
AAEL004992	AAEL004992-RA
AAEL000589	AAEL000589-RE
AAEL021918	AAEL021918-RB
AAEL000604	AAEL000604-RC
AAEL000622	AAEL000622-RC
AAEL010330	AAEL010330-RA
AAEL004783	AAEL004783-RA
AAEL004777	AAEL004777-RA
AAEL004741	AAEL004741-RA
AAEL019638	AAEL019638-RA
AAEL007439	AAEL007439-RB
AAEL022463	AAEL022463-RA
AAEL007451	AAEL007451-RA
AAEL007447	AAEL007447-RB
AAEL021165	AAEL021165-RA
AAEL019609	AAEL019609-RA
AAEL004294	AAEL004294-RA
AAEL004297	AAEL004297-RB
AAEL026217	AAEL026217-RA
AAEL013790	AAEL013790-RA
AAEL018341	AAEL018341-RC
AAEL005451	AAEL005451-RA
AAEL005457	AAEL005457-RA
AAEL005453	AAEL005453-RA
AAEL005446	AAEL005446-RB
AAEL016984	AAEL016984-RA
AAEL005455	AAEL005455-RA
AAEL017224	AAEL017224-RD
AAEL024228	AAEL024228-RA
AAEL001666	AAEL001666-RA
AAEL002253	AAEL002253-RB
AAEL018230	AAEL018230-RD
AAEL012932	AAEL012932-RA
AAEL021693	AAEL021693-RA
AAEL002370	AAEL002370-RB
AAEL002372	AAEL002372-RB
AAEL023701	AAEL023701-RA
AAEL002399	AAEL002399-RA
AAEL002390	AAEL002390-RA
AAEL023902	AAEL023902-RB
AAEL010765	AAEL010765-RA
AAEL010776	AAEL010776-RB
AAEL019948	AAEL019948-RB
AAEL010777	AAEL010777-RA
AAEL013936	AAEL013936-RE
AAEL017012	AAEL017012-RC
AAEL019662	AAEL019662-RB
AAEL025149	AAEL025149-RA
AAEL001171	AAEL001171-RA
AAEL001194	AAEL001194-RA
AAEL001176	AAEL001176-RA
AAEL001181	AAEL001181-RB
AAEL002271	AAEL002271-RA
AAEL004523	AAEL004523-RA
AAEL019776	AAEL019776-RF
AAEL013950	AAEL013950-RA
AAEL007279	AAEL007279-RA
AAEL007271	AAEL007271-RB
AAEL002272	AAEL002272-RA
AAEL012960	AAEL012960-RA
AAEL020448	AAEL020448-RA
AAEL003676	AAEL003676-RA
AAEL003700	AAEL003700-RA
AAEL015682	AAEL015682-RA
AAEL003689	AAEL003689-RB
AAEL019637	AAEL019637-RA
AAEL003673	AAEL003673-RB
AAEL019635	AAEL019635-RA
AAEL019636	AAEL019636-RA
AAEL027325	AAEL027325-RA
AAEL015683	AAEL015683-RA
AAEL003682	AAEL003682-RA
AAEL021371	AAEL021371-RA
AAEL025597	AAEL025597-RA
AAEL024987	AAEL024987-RA
AAEL010881	AAEL010881-RB
AAEL021860	AAEL021860-RA
AAEL028104	AAEL028104-RA
AAEL008696	AAEL008696-RA
AAEL021798	AAEL021798-RB
AAEL008697	AAEL008697-RB
AAEL005170	AAEL005170-RC
AAEL014326	AAEL014326-RB
AAEL027107	AAEL027107-RA
AAEL019726	AAEL019726-RM
AAEL013367	AAEL013367-RC
AAEL013366	AAEL013366-RB
AAEL013360	AAEL013360-RB
AAEL019516	AAEL019516-RB
AAEL012378	AAEL012378-RB
AAEL006685	AAEL006685-RA
AAEL022611	AAEL022611-RG
AAEL006669	AAEL006669-RA
AAEL014732	AAEL014732-RD
AAEL010640	AAEL010640-RA
AAEL022162	AAEL022162-RA
AAEL012671	AAEL012671-RB
AAEL012585	AAEL012585-RA
AAEL018244	AAEL018244-RA
AAEL004591	AAEL004591-RC
AAEL022570	AAEL022570-RA
AAEL020583	AAEL020583-RA
AAEL013027	AAEL013027-RA
AAEL018801	AAEL018801-RA
AAEL011319	AAEL011319-RE
AAEL014205	AAEL014205-RB
AAEL017805	AAEL017805-RA
AAEL023753	AAEL023753-RB
AAEL017888	AAEL017888-RA
AAEL013952	AAEL013952-RC
AAEL009946	AAEL009946-RA
AAEL020720	AAEL020720-RA
AAEL013625	AAEL013625-RA
AAEL013014	AAEL013014-RA
AAEL002388	AAEL002388-RB
AAEL019430	AAEL019430-RA
AAEL018254	AAEL018254-RA
AAEL011488	AAEL011488-RB
AAEL005692	AAEL005692-RA
AAEL021232	AAEL021232-RA
AAEL015007	AAEL015007-RA
AAEL015006	AAEL015006-RB
AAEL013092	AAEL013092-RB
AAEL004583	AAEL004583-RF
AAEL013127	AAEL013127-RB
AAEL004586	AAEL004586-RB
AAEL006904	AAEL006904-RB
AAEL004592	AAEL004592-RA
AAEL006899	AAEL006899-RB
AAEL019690	AAEL019690-RC
AAEL010286	AAEL010286-RC
AAEL028047	AAEL028047-RA
AAEL004589	AAEL004589-RA
AAEL020446	AAEL020446-RA
AAEL007349	AAEL007349-RA
AAEL007342	AAEL007342-RA
AAEL020651	AAEL020651-RA
AAEL025362	AAEL025362-RA
AAEL007329	AAEL007329-RA
AAEL019652	AAEL019652-RA
AAEL019466	AAEL019466-RA
AAEL018808	AAEL018808-RA
AAEL019605	AAEL019605-RI
AAEL013272	AAEL013272-RA
AAEL017204	AAEL017204-RA
AAEL013275	AAEL013275-RB
AAEL013271	AAEL013271-RB
AAEL013466	AAEL013466-RB
AAEL019715	AAEL019715-RA
AAEL023187	AAEL023187-RD
AAEL007945	AAEL007945-RA
AAEL013939	AAEL013939-RB
AAEL014003	AAEL014003-RB
AAEL027658	AAEL027658-RA
AAEL003926	AAEL003926-RA
AAEL019480	AAEL019480-RC
AAEL017419	AAEL017419-RA
AAEL019985	AAEL019985-RA
AAEL027210	AAEL027210-RA
AAEL002061	AAEL002061-RA
AAEL022051	AAEL022051-RB
AAEL015109	AAEL015109-RB
AAEL028124	AAEL028124-RA
AAEL021429	AAEL021429-RA
AAEL005970	AAEL005970-RA
AAEL021456	AAEL021456-RA
AAEL008607	AAEL008607-RA
AAEL023100	AAEL023100-RA
AAEL005202	AAEL005202-RC
AAEL012897	AAEL012897-RA
AAEL007990	AAEL007990-RD
AAEL028088	AAEL028088-RA
AAEL003234	AAEL003234-RA
AAEL019826	AAEL019826-RE
AAEL007986	AAEL007986-RA
AAEL000311	AAEL000311-RC
AAEL026580	AAEL026580-RA
AAEL000328	AAEL000328-RC
AAEL019833	AAEL019833-RA
AAEL019606	AAEL019606-RA
AAEL001242	AAEL001242-RC
AAEL011447	AAEL011447-RB
AAEL001235	AAEL001235-RA
AAEL001243	AAEL001243-RB
AAEL022844	AAEL022844-RA
AAEL001233	AAEL001233-RA
AAEL013152	AAEL013152-RA
AAEL001810	AAEL001810-RA
AAEL001803	AAEL001803-RB
AAEL009082	AAEL009082-RA
AAEL013513	AAEL013513-RB
AAEL001798	AAEL001798-RC
AAEL001795	AAEL001795-RA
AAEL001736	AAEL001736-RA
AAEL004719	AAEL004719-RA
AAEL020725	AAEL020725-RA
AAEL023948	AAEL023948-RB
AAEL028037	AAEL028037-RA
AAEL004731	AAEL004731-RB
AAEL004733	AAEL004733-RA
AAEL025572	AAEL025572-RA
AAEL005651	AAEL005651-RB
AAEL005643	AAEL005643-RK
AAEL005653	AAEL005653-RC
AAEL005655	AAEL005655-RB
AAEL020008	AAEL020008-RA
AAEL014102	AAEL014102-RB
AAEL012267	AAEL012267-RB
AAEL012261	AAEL012261-RA
AAEL012265	AAEL012265-RA
AAEL012263	AAEL012263-RB
AAEL014653	AAEL014653-RB
AAEL004325	AAEL004325-RA
AAEL004319	AAEL004319-RC
AAEL004307	AAEL004307-RH
AAEL018320	AAEL018320-RB
AAEL017495	AAEL017495-RA
AAEL013174	AAEL013174-RA
AAEL027111	AAEL027111-RA
AAEL013171	AAEL013171-RA
AAEL001906	AAEL001906-RA
AAEL001913	AAEL001913-RA
AAEL001891	AAEL001891-RB
AAEL001898	AAEL001898-RB
AAEL001888	AAEL001888-RE
AAEL001364	AAEL001364-RC
AAEL001368	AAEL001368-RA
AAEL027571	AAEL027571-RA
AAEL008500	AAEL008500-RA
AAEL008492	AAEL008492-RA
AAEL020097	AAEL020097-RA
AAEL010123	AAEL010123-RA
AAEL009761	AAEL009761-RB
AAEL006977	AAEL006977-RA
AAEL009080	AAEL009080-RC
AAEL013253	AAEL013253-RC
AAEL018806	AAEL018806-RA
AAEL013252	AAEL013252-RC
AAEL003326	AAEL003326-RB
AAEL019883	AAEL019883-RA
AAEL010226	AAEL010226-RC
AAEL010235	AAEL010235-RA
AAEL020186	AAEL020186-RA
AAEL010341	AAEL010341-RA
AAEL010348	AAEL010348-RB
AAEL010336	AAEL010336-RA
AAEL010340	AAEL010340-RD
AAEL026485	AAEL026485-RA
AAEL009340	AAEL009340-RB
AAEL023681	AAEL023681-RA
AAEL012125	AAEL012125-RB
AAEL012117	AAEL012117-RE
AAEL012113	AAEL012113-RC
AAEL014071	AAEL014071-RB
AAEL018350	AAEL018350-RA
AAEL020192	AAEL020192-RA
AAEL000605	AAEL000605-RA
AAEL000613	AAEL000613-RA
AAEL001196	AAEL001196-RC
AAEL001218	AAEL001218-RA
AAEL001206	AAEL001206-RC
AAEL001212	AAEL001212-RA
AAEL006409	AAEL006409-RA
AAEL006415	AAEL006415-RA
AAEL006424	AAEL006424-RA
AAEL006417	AAEL006417-RA
AAEL010043	AAEL010043-RB
AAEL018783	AAEL018783-RA
AAEL019495	AAEL019495-RA
AAEL028043	AAEL028043-RA
AAEL007143	AAEL007143-RC
AAEL007146	AAEL007146-RG
AAEL008356	AAEL008356-RD
AAEL007245	AAEL007245-RF
AAEL012057	AAEL012057-RB
AAEL001992	AAEL001992-RB
AAEL027697	AAEL027697-RA
AAEL002039	AAEL002039-RA
AAEL001998	AAEL001998-RA
AAEL002011	AAEL002011-RB
AAEL001964	AAEL001964-RA
AAEL001986	AAEL001986-RA
AAEL025245	AAEL025245-RB
AAEL009074	AAEL009074-RE
AAEL019588	AAEL019588-RR
AAEL019482	AAEL019482-RA
AAEL027838	AAEL027838-RA
AAEL002235	AAEL002235-RA
AAEL002232	AAEL002232-RA
AAEL019793	AAEL019793-RD
AAEL025216	AAEL025216-RB
AAEL002214	AAEL002214-RC
AAEL003104	AAEL003104-RB
AAEL017451	AAEL017451-RA
AAEL019785	AAEL019785-RA
AAEL019950	AAEL019950-RD
AAEL016251	AAEL016251-RA
AAEL016253	AAEL016253-RA
AAEL002668	AAEL002668-RA
AAEL019904	AAEL019904-RB
AAEL018352	AAEL018352-RA
AAEL019523	AAEL019523-RA
AAEL005744	AAEL005744-RA
AAEL005731	AAEL005731-RA
AAEL005734	AAEL005734-RA
AAEL006447	AAEL006447-RB
AAEL006441	AAEL006441-RA
AAEL006432	AAEL006432-RB
AAEL006433	AAEL006433-RB
AAEL006439	AAEL006439-RC
AAEL017229	AAEL017229-RB
AAEL001706	AAEL001706-RA
AAEL019616	AAEL019616-RE
AAEL023789	AAEL023789-RA
AAEL001710	AAEL001710-RB
AAEL001715	AAEL001715-RA
AAEL009745	AAEL009745-RB
AAEL005044	AAEL005044-RA
AAEL005030	AAEL005030-RA
AAEL019939	AAEL019939-RH
AAEL022794	AAEL022794-RA
AAEL010496	AAEL010496-RA
AAEL027251	AAEL027251-RA
AAEL025053	AAEL025053-RB
AAEL001306	AAEL001306-RA
AAEL024618	AAEL024618-RB
AAEL011900	AAEL011900-RB
AAEL021679	AAEL021679-RB
AAEL004493	AAEL004493-RB
AAEL026154	AAEL026154-RA
AAEL004500	AAEL004500-RD
AAEL004492	AAEL004492-RA
AAEL004496	AAEL004496-RD
AAEL023756	AAEL023756-RA
AAEL019568	AAEL019568-RD
AAEL027518	AAEL027518-RB
AAEL008621	AAEL008621-RA
AAEL008622	AAEL008622-RA
AAEL020926	AAEL020926-RB
AAEL017096	AAEL017096-RA
AAEL019474	AAEL019474-RB
AAEL001432	AAEL001432-RA
AAEL000703	AAEL000703-RA
AAEL000716	AAEL000716-RA
AAEL019578	AAEL019578-RB
AAEL020638	AAEL020638-RC
AAEL000719	AAEL000719-RH
AAEL000683	AAEL000683-RB
AAEL001411	AAEL001411-RA
AAEL007849	AAEL007849-RA
AAEL007848	AAEL007848-RB
AAEL007845	AAEL007845-RB
AAEL024022	AAEL024022-RA
AAEL007863	AAEL007863-RA
AAEL007850	AAEL007850-RA
AAEL007844	AAEL007844-RB
AAEL021610	AAEL021610-RA
AAEL026638	AAEL026638-RA
AAEL003355	AAEL003355-RA
AAEL003352	AAEL003352-RA
AAEL003332	AAEL003332-RA
AAEL020615	AAEL020615-RA
AAEL006609	AAEL006609-RB
AAEL017059	AAEL017059-RB
AAEL001421	AAEL001421-RB
AAEL006619	AAEL006619-RB
AAEL014970	AAEL014970-RB
AAEL018280	AAEL018280-RB
AAEL024141	AAEL024141-RE
AAEL002687	AAEL002687-RA
AAEL002692	AAEL002692-RA
AAEL002690	AAEL002690-RB
AAEL006511	AAEL006511-RA
AAEL027881	AAEL027881-RA
AAEL006516	AAEL006516-RA
AAEL006532	AAEL006532-RB
AAEL006533	AAEL006533-RA
AAEL025578	AAEL025578-RA
AAEL006514	AAEL006514-RG
AAEL006523	AAEL006523-RA
AAEL022166	AAEL022166-RA
AAEL027724	AAEL027724-RA
AAEL025279	AAEL025279-RA
AAEL021575	AAEL021575-RA
AAEL007697	AAEL007697-RA
AAEL007702	AAEL007702-RA
AAEL007698	AAEL007698-RA
AAEL007707	AAEL007707-RA
AAEL007705	AAEL007705-RC
AAEL026504	AAEL026504-RA
AAEL022793	AAEL022793-RG
AAEL025006	AAEL025006-RA
AAEL006003	AAEL006003-RA
AAEL006012	AAEL006012-RF
AAEL006011	AAEL006011-RA
AAEL006006	AAEL006006-RA
AAEL019477	AAEL019477-RF
AAEL004457	AAEL004457-RE
AAEL025391	AAEL025391-RC
AAEL001438	AAEL001438-RA
AAEL016123	AAEL016123-RA
AAEL019542	AAEL019542-RB
AAEL024235	AAEL024235-RG
AAEL006219	AAEL006219-RB
AAEL019416	AAEL019416-RA
AAEL024532	AAEL024532-RA
AAEL000746	AAEL000746-RA
AAEL028784	AAEL028784-RA
AAEL016625	AAEL016625-RA
AAEL016626	AAEL016626-RA
AAEL000729	AAEL000729-RB
AAEL018120	AAEL018120-RG
AAEL016631	AAEL016631-RA
AAEL018333	AAEL018333-RB
AAEL016633	AAEL016633-RA
AAEL019936	AAEL019936-RA
AAEL018981	AAEL018981-RA
AAEL014021	AAEL014021-RA
AAEL014022	AAEL014022-RA
AAEL005211	AAEL005211-RB
AAEL017516	AAEL017516-RB
AAEL018982	AAEL018982-RA
AAEL008210	AAEL008210-RB
AAEL018119	AAEL018119-RC
AAEL027949	AAEL027949-RA
AAEL001232	AAEL001232-RB
AAEL001244	AAEL001244-RB
AAEL019705	AAEL019705-RA
AAEL018699	AAEL018699-RT
AAEL022320	AAEL022320-RA
AAEL011051	AAEL011051-RB
AAEL020452	AAEL020452-RA
AAEL019618	AAEL019618-RB
AAEL019451	AAEL019451-RA
AAEL024562	AAEL024562-RA
AAEL026008	AAEL026008-RA
AAEL026833	AAEL026833-RA
AAEL022334	AAEL022334-RA
AAEL014550	AAEL014550-RE
AAEL023898	AAEL023898-RA
AAEL015593	AAEL015593-RC
AAEL008292	AAEL008292-RB
AAEL017029	AAEL017029-RB
AAEL014519	AAEL014519-RB
AAEL009736	AAEL009736-RE
AAEL022730	AAEL022730-RA
AAEL025106	AAEL025106-RA
AAEL005277	AAEL005277-RB
AAEL022497	AAEL022497-RC
AAEL025226	AAEL025226-RA
AAEL020456	AAEL020456-RB
AAEL004905	AAEL004905-RC
AAEL004902	AAEL004902-RA
AAEL020662	AAEL020662-RA
AAEL028704	AAEL028704-RA
AAEL018724	AAEL018724-RA
AAEL027655	AAEL027655-RA
AAEL018784	AAEL018784-RA
AAEL000269	AAEL000269-RA
AAEL026994	AAEL026994-RA
AAEL000281	AAEL000281-RA
AAEL016035	AAEL016035-RA
AAEL000288	AAEL000288-RH
AAEL000293	AAEL000293-RA
AAEL012756	AAEL012756-RA
AAEL012509	AAEL012509-RA
AAEL007208	AAEL007208-RA
AAEL005985	AAEL005985-RB
AAEL002463	AAEL002463-RB
AAEL002483	AAEL002483-RA
AAEL002487	AAEL002487-RB
AAEL002462	AAEL002462-RA
AAEL021789	AAEL021789-RA
AAEL008620	AAEL008620-RA
AAEL012539	AAEL012539-RD
AAEL013565	AAEL013565-RB
AAEL019731	AAEL019731-RC
AAEL006740	AAEL006740-RB
AAEL006747	AAEL006747-RA
AAEL006752	AAEL006752-RA
AAEL026097	AAEL026097-RA
AAEL019478	AAEL019478-RB
AAEL006721	AAEL006721-RH
AAEL014768	AAEL014768-RB
AAEL029021	AAEL029021-RA
AAEL001673	AAEL001673-RA
AAEL019044	AAEL019044-RA
AAEL019045	AAEL019045-RA
AAEL001703	AAEL001703-RA
AAEL020351	AAEL020351-RA
AAEL010506	AAEL010506-RC
AAEL010508	AAEL010508-RB
AAEL024153	AAEL024153-RF
AAEL019746	AAEL019746-RA
AAEL021667	AAEL021667-RA
AAEL011350	AAEL011350-RA
AAEL011348	AAEL011348-RB
AAEL009959	AAEL009959-RA
AAEL019862	AAEL019862-RB
AAEL013279	AAEL013279-RB
AAEL013277	AAEL013277-RB
AAEL005174	AAEL005174-RI
AAEL002737	AAEL002737-RC
AAEL002748	AAEL002748-RA
AAEL013904	AAEL013904-RA
AAEL009183	AAEL009183-RE
AAEL009185	AAEL009185-RB
AAEL024921	AAEL024921-RF
AAEL008517	AAEL008517-RA
AAEL020434	AAEL020434-RA
AAEL004291	AAEL004291-RA
AAEL015631	AAEL015631-RA
AAEL007535	AAEL007535-RA
AAEL016519	AAEL016519-RA
AAEL028883	AAEL028883-RA
AAEL028773	AAEL028773-RA
AAEL016525	AAEL016525-RA
AAEL016527	AAEL016527-RA
AAEL016528	AAEL016528-RA
