aegypti_Ago2_non3UTRtop.geneId	aegypti_Ago2_non3UTRtop.transcriptId
AAEL024429	AAEL024429-RA
AAEL022087	AAEL022087-RA
AAEL005242	AAEL005242-RA
AAEL006071	AAEL006071-RC
AAEL025199	AAEL025199-RA
AAEL006073	AAEL006073-RA
AAEL025013	AAEL025013-RA
AAEL019499	AAEL019499-RA
AAEL022171	AAEL022171-RA
AAEL020017	AAEL020017-RA
AAEL020016	AAEL020016-RA
AAEL003634	AAEL003634-RA
AAEL003645	AAEL003645-RA
AAEL003203	AAEL003203-RC
AAEL019417	AAEL019417-RA
AAEL027013	AAEL027013-RA
AAEL003180	AAEL003180-RA
AAEL024824	AAEL024824-RA
AAEL028084	AAEL028084-RA
AAEL003184	AAEL003184-RD
AAEL021085	AAEL021085-RA
AAEL003193	AAEL003193-RA
AAEL013334	AAEL013334-RD
AAEL013335	AAEL013335-RB
AAEL003161	AAEL003161-RA
AAEL009994	AAEL009994-RA
AAEL020002	AAEL020002-RD
AAEL017329	AAEL017329-RD
AAEL003160	AAEL003160-RA
AAEL015442	AAEL015442-RB
AAEL021475	AAEL021475-RB
AAEL009995	AAEL009995-RA
AAEL010004	AAEL010004-RB
AAEL010012	AAEL010012-RA
AAEL010001	AAEL010001-RA
AAEL012233	AAEL012233-RB
AAEL027562	AAEL027562-RC
AAEL020407	AAEL020407-RA
AAEL000109	AAEL000109-RA
AAEL000127	AAEL000127-RB
AAEL020570	AAEL020570-RC
AAEL024590	AAEL024590-RA
AAEL012233	AAEL012233-RC
AAEL007511	AAEL007511-RB
AAEL009313	AAEL009313-RB
AAEL005817	AAEL005817-RA
AAEL005798	AAEL005798-RA
AAEL023850	AAEL023850-RA
AAEL005796	AAEL005796-RB
AAEL013240	AAEL013240-RA
AAEL005791	AAEL005791-RB
AAEL027924	AAEL027924-RB
AAEL013546	AAEL013546-RB
AAEL003777	AAEL003777-RB
AAEL020930	AAEL020930-RA
AAEL003785	AAEL003785-RB
AAEL004410	AAEL004410-RC
AAEL010473	AAEL010473-RA
AAEL010464	AAEL010464-RE
AAEL022870	AAEL022870-RA
AAEL008422	AAEL008422-RB
AAEL008428	AAEL008428-RA
AAEL028724	AAEL028724-RA
AAEL028707	AAEL028707-RA
AAEL028790	AAEL028790-RA
AAEL028650	AAEL028650-RA
AAEL028762	AAEL028762-RA
AAEL028644	AAEL028644-RA
AAEL028980	AAEL028980-RA
AAEL028695	AAEL028695-RA
AAEL028803	AAEL028803-RA
AAEL028852	AAEL028852-RA
AAEL028665	AAEL028665-RA
AAEL028994	AAEL028994-RA
AAEL028853	AAEL028853-RA
AAEL028736	AAEL028736-RA
AAEL028906	AAEL028906-RA
AAEL028912	AAEL028912-RA
AAEL028925	AAEL028925-RA
AAEL028907	AAEL028907-RA
AAEL028865	AAEL028865-RA
AAEL028769	AAEL028769-RA
AAEL028659	AAEL028659-RA
AAEL028985	AAEL028985-RA
AAEL028663	AAEL028663-RA
AAEL028856	AAEL028856-RA
AAEL028689	AAEL028689-RA
AAEL028658	AAEL028658-RA
AAEL028952	AAEL028952-RA
AAEL028798	AAEL028798-RA
AAEL028813	AAEL028813-RA
AAEL028742	AAEL028742-RA
AAEL028996	AAEL028996-RA
AAEL028884	AAEL028884-RA
AAEL028858	AAEL028858-RA
AAEL020329	AAEL020329-RA
AAEL012925	AAEL012925-RC
AAEL028648	AAEL028648-RA
AAEL009911	AAEL009911-RA
AAEL023347	AAEL023347-RA
AAEL009908	AAEL009908-RA
AAEL009915	AAEL009915-RD
AAEL025130	AAEL025130-RC
AAEL018187	AAEL018187-RF
AAEL019439	AAEL019439-RG
AAEL003002	AAEL003002-RB
AAEL015609	AAEL015609-RB
AAEL023182	AAEL023182-RE
AAEL024707	AAEL024707-RA
